,0,1,1128,3173,3174,3175,3176,3196,3197,3198,3561,3764,3765,3801,3804,3805,3807,3808,3809,3816,3818,3819,3820,3821,3827,3830,3836,3843,3853,3854,3855,3856,3857,3858,3859,3860,3861,3866,3868,3869,3876,3880,3883,3885,3886,3887,3888,3889,3890,3892,3893,3904,3905,3906,3907,3919,3938,3939,3940,3941,3942,3943,3944,3945,3946,3947,3948,3949,3950,4052,4235,6395,6509,6514,6533
3198,9677.68,9596.1,7203.2,1216.18,985.93,926.61,852.45,462.86,232.91,0.0,922.43,4245.42,4114.9,5769.61,6923.27,6702.31,5726.55,5513.93,5238.31,3653.01,5358.09,5228.08,5329.04,4505.15,4461.76,6010.57,4407.39,5262.47,4397.93,4506.98,4781.43,4628.49,4450.83,4589.78,4822.69,4658.82,4333.68,5777.77,5595.69,5031.72,6009.92,6488.01,6276.47,3804.71,3913.64,4215.95,3504.06,3405.93,3434.12,3934.24,3678.32,3658.47,3388.74,3221.13,3515.67,613.86,3631.9,3416.93,3268.34,3272.26,3153.13,3274.95,3517.79,3362.01,3402.56,3290.73,3382.8,3562.88,2985.25,3450.25,3523.08,4507.28,3740.59,5204.48,5241.05
3561,9358.16,9276.58,6883.68,591.8,361.55,302.23,660.45,200.93,430.37,695.78,0.0,3925.9,3795.38,5450.09,6603.75,6382.79,5407.03,5194.41,4918.79,3333.49,5038.57,4908.56,5009.52,4185.63,4142.24,5691.05,4087.88,4942.95,4078.41,4187.46,4461.92,4308.98,4131.31,4270.26,4503.18,4339.3,4014.16,5458.26,5276.17,4712.2,5690.4,6168.49,5956.95,3485.19,3594.12,3896.44,3184.54,3086.41,3114.6,3614.72,3358.81,3338.95,3069.23,2901.61,3196.15,294.34,3312.38,3097.41,2948.82,2952.74,2833.61,2955.43,3198.28,3042.49,3083.04,2971.21,3063.29,3243.36,2665.73,3130.74,3203.56,4187.76,3421.07,4884.96,4921.53
3764,6337.63,11297.04,2690.82,5890.73,4821.36,4762.04,5621.28,4355.88,4585.32,4850.73,4667.89,0.0,517.79,2228.9,2751.33,3669.42,2185.84,1973.22,1697.6,1031.28,1469.75,1339.74,1468.53,682.53,423.3,2469.86,368.94,1401.96,575.32,684.36,958.82,805.88,628.21,767.17,1000.08,836.21,511.06,2237.06,2166.72,1355.74,2259.06,3455.12,3243.58,847.88,1007.27,1309.58,1259.47,1490.73,1620.01,1465.05,1209.13,2631.15,2361.43,2193.81,2394.02,4253.48,2510.25,2295.28,2241.02,2244.94,2125.81,2247.63,2303.51,2147.73,2029.38,1917.55,2009.62,1673.83,1957.93,2422.93,2401.43,105.25,4973.73,1663.77,1703.06
3765,6117.92,11077.34,2471.11,5373.22,4303.85,4244.53,5103.77,3838.37,4067.81,4333.21,4150.37,439.17,0.0,2009.19,2531.62,3491.57,1966.13,1753.51,1477.89,513.77,1291.9,1161.89,1290.68,504.68,461.3,2250.15,406.93,1224.11,397.47,506.51,780.97,628.03,450.36,589.32,822.23,658.36,333.21,2017.36,1947.02,1177.9,2039.35,3277.27,3065.73,330.36,489.75,792.07,741.96,973.21,1102.5,947.53,691.62,2113.64,1843.91,1676.3,1876.51,3735.97,1992.74,1777.76,1723.51,1727.43,1608.3,1730.12,1786.0,1630.21,1511.86,1400.03,1492.11,1156.32,1440.42,1905.42,1883.92,506.81,4142.23,1444.06,1483.35
3801,4491.8,9451.21,1031.43,6944.73,5875.36,5816.04,6675.28,5409.88,5639.32,5904.73,5721.88,2117.07,1826.68,0.0,1374.03,2238.57,356.91,255.68,384.34,2340.17,1282.53,1152.52,1253.48,1476.68,1757.55,810.47,1520.46,1186.91,1599.35,1835.64,1614.67,1446.81,1713.03,1562.39,1312.03,1630.36,1564.27,143.4,789.42,956.16,881.76,1241.45,1812.74,2156.76,2316.15,2618.47,2568.36,2799.61,2928.9,2773.93,2518.02,4330.94,4061.22,3893.6,4188.14,5307.48,4304.37,4089.4,3940.81,3944.74,3825.6,3947.43,4190.27,4034.48,4075.03,3963.2,4055.28,2982.72,3657.72,4122.73,4195.55,2034.8,7015.16,418.18,570.21
3804,4860.48,9818.0,1770.69,7393.34,6323.96,6264.65,7123.89,5858.49,6087.92,6353.33,6170.49,2736.83,2446.44,1311.4,0.0,554.03,1759.45,1546.83,1271.21,2959.93,1820.65,1690.64,1791.6,2096.44,2377.31,2212.21,2140.22,1725.03,2219.11,2373.77,2152.8,1984.93,2251.16,2100.52,1850.16,2250.12,2184.03,1168.0,600.05,1494.28,516.97,436.02,664.69,2776.52,2935.91,3238.23,3188.12,3419.38,4555.2,3393.69,3137.78,4779.55,4509.82,4342.21,4636.75,5756.09,4752.98,4538.01,4389.42,4393.34,4274.21,4396.03,4638.87,4483.09,4523.64,4411.81,4503.88,3602.48,4106.33,4571.33,4644.16,2654.56,7381.94,1237.38,1075.67
3805,4639.52,9597.03,1549.72,8118.86,7049.48,6990.17,7849.41,6584.01,6813.44,7078.85,6896.01,3532.32,3241.92,2106.89,554.03,0.0,2055.51,2232.02,2066.7,3755.42,2616.14,2486.13,2587.09,2891.93,3172.8,1991.24,2935.7,2520.52,3014.6,3169.25,2948.28,2780.42,3046.65,2896.01,2645.64,3045.6,2979.52,1963.49,1121.97,2289.77,1038.9,655.27,425.84,3572.01,3731.4,4033.72,3983.61,5252.53,5280.72,4189.18,3933.26,5505.07,5235.34,5067.73,5362.27,6481.6,5478.5,5263.53,5114.94,5118.86,4999.73,5121.55,5364.39,5208.6,5249.16,5137.33,5229.4,4397.97,4831.85,5296.85,5369.68,3450.04,7160.98,2032.87,1871.15
3807,4102.74,9062.15,642.37,7051.58,5982.21,5922.89,6782.13,5516.73,5746.17,6011.58,5828.73,2151.12,1860.73,456.59,1652.54,2517.08,0.0,200.91,418.39,2374.22,1316.58,1186.57,1287.53,1510.73,1791.6,421.41,1554.51,1220.96,1633.4,1869.69,1648.72,1480.86,1747.09,1596.45,1346.08,1664.41,1598.32,464.75,1067.93,990.21,1160.27,1519.96,2091.25,2190.81,2350.2,2652.52,2602.41,2833.67,2962.95,2807.99,2552.07,4437.79,4168.07,4000.45,4294.99,5414.33,4411.22,4196.25,4047.66,4051.58,3932.45,4054.28,4297.12,4141.33,4181.88,4070.05,4162.13,3016.77,3764.57,4229.58,4302.4,2068.85,6626.09,452.23,604.27
3808,4236.12,9195.54,775.76,6908.83,5839.45,5780.14,6639.38,5373.97,5603.41,5868.82,5685.98,2008.36,1717.97,255.68,1509.78,2374.33,270.77,0.0,275.64,2231.47,1173.82,1043.81,1144.77,1367.98,1648.85,554.79,1411.75,1078.2,1490.65,1726.94,1505.97,1338.1,1604.33,1453.69,1203.33,1521.65,1455.56,264.98,925.17,847.45,1017.51,1377.2,1948.49,2048.06,2207.45,2509.76,2459.65,2690.91,2820.19,2665.23,2409.31,4295.03,4025.31,3857.7,4152.24,5271.57,4268.47,4053.49,3904.91,3908.83,3789.7,3911.52,4154.36,3998.57,4039.13,3927.3,4019.37,2874.02,3621.82,4086.82,4159.65,1926.09,6759.48,309.47,461.51
3809,4453.59,9413.0,993.22,6633.19,5563.81,5504.5,6363.74,5098.34,5327.77,5593.18,5410.34,1732.73,1442.33,531.3,1234.14,2098.69,488.24,275.62,0.0,1955.83,898.18,768.17,869.14,1092.34,1373.21,772.26,1136.11,802.57,1215.01,1451.3,1230.33,1062.47,1328.69,1178.05,927.69,1246.01,1179.92,539.46,649.54,571.82,741.87,1101.56,1672.85,1772.42,1931.81,2234.13,2184.01,2415.27,2544.55,2389.59,2133.67,4019.4,3749.67,3582.06,3876.6,4995.93,3992.83,3777.86,3629.27,3633.19,3514.06,3635.88,3878.72,3722.93,3763.49,3651.66,3743.73,2598.38,3346.18,3811.18,3884.01,1650.45,6976.95,33.83,185.87
