,0,1,3164,3165,3166,3167,3168,3170,3171,3172,3199,3200,3201,3202,3203,3204,3205,3206,3207,3208,3210,3217,3221,3225,3249,3261,3262,3263,3264,3265,3266,3547,3551,3553,3554,3555,3556,3557,3560,3900,3903,3909,3911,3912,3913,3914,3916,3917,3920,3921,3925,3927,3929,3931,3933,3953,4148,4155,4230,4231,4233,6379,6455,6481,6494,6508,6563
3172,9978.79,9490.81,1667.96,1806.61,1774.58,1898.05,1921.88,778.13,687.36,0.0,1909.96,2196.28,2445.94,2460.48,2394.05,2163.12,2748.42,2854.61,2953.52,2830.94,1437.74,2084.23,2135.61,1898.46,748.2,2048.34,2071.81,2048.42,2303.48,2255.98,1743.64,1445.76,1350.37,1892.98,1779.35,1939.52,1778.43,1610.68,1195.09,3052.89,3986.04,2373.29,1575.81,2540.4,2176.08,1371.06,2705.9,2830.28,2392.59,2328.93,3980.21,2575.04,2542.22,2545.78,2514.06,2484.69,2197.08,2885.29,2942.6,2717.97,3082.7,2239.72,1749.49,1982.9,2265.83,2225.21,2647.93
3199,8192.52,8334.42,2642.18,2780.83,2748.8,2872.28,2896.1,2965.62,3342.7,3415.27,0.0,286.32,535.97,550.51,1294.21,253.16,1548.03,1799.17,1710.89,1813.35,3237.02,3058.45,3109.83,2872.68,3173.37,3022.56,3046.03,3022.64,3277.7,3230.21,2717.86,2707.55,3149.64,2867.2,2753.57,2913.74,2752.65,2584.9,2978.18,2041.63,2197.77,1362.03,1439.94,2104.84,2563.87,1796.32,1694.64,1819.02,1292.75,1229.09,2014.09,1475.2,1530.97,1534.52,1502.8,1473.43,1185.82,1874.04,1931.35,2393.09,2071.44,3213.94,2723.71,2957.13,2653.62,1125.36,737.96
3200,7919.03,8060.92,2368.69,2507.34,2475.31,2598.78,2622.6,2692.13,3069.2,3141.77,1118.71,0.0,262.48,277.02,1020.71,588.56,1274.54,1525.67,1437.39,1539.85,2963.52,2784.96,2836.33,2599.18,2899.87,2749.06,2772.54,2749.15,3004.2,2956.71,2444.37,2434.06,2876.15,2593.7,2480.07,2640.25,2479.16,2311.41,2704.68,1768.13,1924.27,1088.54,1166.44,1831.34,2290.37,1522.82,1421.15,1545.53,1019.26,955.59,1740.59,1201.7,1257.47,1261.03,1229.3,1199.94,912.33,1600.54,1657.85,2119.6,1797.95,2940.45,2450.22,2683.63,2380.12,851.87,464.47
3201,7854.08,7995.97,2303.74,2442.39,2410.36,2533.83,2557.65,2627.18,3004.25,3076.82,1053.76,556.76,0.0,212.07,955.76,523.61,1209.59,1460.72,1372.44,1474.9,2898.57,2720.01,2771.38,2534.23,2834.92,2684.11,2707.59,2684.2,2939.25,2891.76,2379.42,2369.11,2811.2,2528.75,2415.12,2575.3,2414.2,2246.46,2639.73,1703.18,1859.32,1023.59,1101.49,1766.39,2225.42,1457.87,1356.2,1480.58,954.31,890.64,1675.64,1136.75,1192.52,1196.08,1164.35,1134.99,847.38,1535.59,1592.9,2054.65,1733.0,2875.5,2385.27,2618.68,2315.17,786.92,399.52
3202,7740.95,8041.32,2349.08,2487.73,2455.7,2579.18,2603.0,2672.52,3327.99,2963.7,940.64,443.64,245.26,0.0,842.64,410.48,1254.93,1303.2,1417.79,1279.52,2943.92,2765.35,2816.73,2579.58,3388.83,2729.46,2752.93,2729.54,2984.6,2937.11,2424.76,2414.45,2856.54,2574.1,2460.47,2620.64,2459.55,2291.8,2685.08,1590.06,1746.2,910.46,988.37,1653.26,2112.29,1344.75,1243.07,1367.45,841.18,777.52,1562.52,1023.63,1079.4,1082.95,1051.23,1021.86,734.25,1422.47,1479.78,1941.52,1619.87,2920.84,2430.61,2664.02,2202.04,673.79,187.45
3203,7480.46,8231.25,2539.02,2677.66,2645.64,2769.11,2792.93,3158.27,3067.5,2703.21,680.15,183.15,432.81,447.35,0.0,149.99,936.52,1042.71,1141.61,1019.03,3133.85,2955.29,3006.66,2769.51,3128.34,2919.39,2942.87,2919.48,3174.53,3127.04,2614.69,2604.39,3046.48,2764.03,2650.4,2810.58,2649.48,2481.74,2875.01,1329.57,1485.71,649.97,727.88,1392.78,1851.81,1084.26,982.58,1106.96,580.69,517.03,1302.03,763.14,818.91,822.46,790.74,761.37,473.76,1161.98,1219.29,1681.03,1359.38,3110.78,2620.55,2853.96,1941.56,413.3,634.8
3204,7939.37,8081.26,2389.03,2527.67,2495.65,2619.12,2642.94,2712.46,3089.54,3162.11,1139.05,33.16,282.82,297.36,1041.05,0.0,1294.88,1546.01,1457.73,1560.19,2983.86,2805.3,2856.67,2619.52,2920.21,2769.4,2792.88,2769.48,3024.54,2977.05,2464.7,2454.39,2896.49,2614.04,2500.41,2660.58,2499.49,2331.75,2725.02,1788.47,1944.61,1108.88,1186.78,1851.68,2310.71,1543.16,1441.49,1565.86,1039.59,975.93,1760.93,1222.04,1277.81,1281.36,1249.64,1220.28,932.67,1620.88,1678.19,2139.93,1818.29,2960.79,2470.55,2703.97,2400.46,872.21,484.81
3205,9606.95,7479.83,2197.58,2336.23,2304.2,2427.68,2451.5,2521.02,2898.1,3199.83,1690.4,1193.4,995.03,848.71,752.8,1160.24,0.0,251.13,350.04,265.32,2792.42,2613.85,2665.23,2428.08,2728.77,2577.96,2601.43,2578.04,2833.1,2785.6,2273.26,2262.95,2705.04,2422.6,2308.97,2469.14,2308.05,2140.3,2533.58,1754.49,1910.63,1660.23,1738.13,2403.03,2862.06,2094.51,1992.84,2117.22,370.92,773.78,1726.95,750.76,1829.16,1832.71,1800.99,1771.63,1484.02,1586.9,1644.21,2691.29,1784.3,2769.34,2279.11,2512.52,2951.81,620.5,1036.16
3206,9323.95,7753.83,2448.72,2587.36,2555.34,2678.81,2702.63,2772.16,3149.23,3450.97,1299.4,1444.53,1246.16,1099.84,858.99,1411.38,251.13,0.0,98.91,243.43,3043.55,2864.99,2916.36,2679.21,2979.9,2829.09,2852.57,2829.18,3084.23,3036.74,2524.39,2514.09,2956.18,2673.73,2560.1,2720.28,2559.18,2391.44,2784.71,1762.49,2016.82,1269.23,1347.14,2012.03,2471.06,1703.52,1601.84,1726.22,477.11,879.97,1833.14,856.95,1438.16,1441.72,1410.0,1380.63,1093.02,1693.08,1750.39,2300.29,1890.49,3020.48,2530.25,2763.66,2560.81,726.69,1287.29
3207,9292.01,7721.89,2851.85,2990.49,2958.47,3081.94,3105.76,3175.28,3552.36,3854.1,1398.31,1543.44,1345.07,1198.75,957.9,1510.29,350.04,98.91,0.0,342.08,3446.68,3268.12,3319.49,3082.34,3383.03,3232.22,3255.7,3232.3,3487.36,3439.87,2927.52,2917.21,3359.31,3076.86,2963.23,3123.4,2962.31,2794.57,3187.84,1730.56,2115.72,1368.14,1446.04,2110.94,2569.97,1802.42,1700.75,1825.13,576.02,978.87,1932.04,955.86,1537.07,1540.63,1508.91,1479.54,1191.93,1791.99,1849.3,2399.2,1989.4,3423.6,2933.37,3166.79,2659.72,825.6,1386.2
